protein_group,sequence_count
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|P51991|ROA3_HUMAN;sp|Q13151|ROA0_HUMAN;sp|Q32P51|RA1L2_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,4
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,2
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN,3
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,1
sp|O14979|HNRDL_HUMAN;sp|Q14103|HNRPD_HUMAN;sp|Q99729|ROAA_HUMAN,1
sp|O43169|CYB5B_HUMAN,1
sp|O43175|SERA_HUMAN,1
sp|O60361|NDK8_HUMAN;sp|P15531|NDKA_HUMAN;sp|P22392|NDKB_HUMAN,1
sp|O60506|HNRPQ_HUMAN,1
sp|O60814|H2B1K_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1
sp|O75367|H2AY_HUMAN,1
sp|O75369|FLNB_HUMAN,1
sp|O95678|K2C75_HUMAN;sp|P02538|K2C6A_HUMAN;sp|P04259|K2C6B_HUMAN;sp|P05787|K2C8_HUMAN;sp|P08729|K2C7_HUMAN;sp|P12035|K2C3_HUMAN;sp|P13647|K2C5_HUMAN;sp|P19013|K2C4_HUMAN;sp|P35908|K22E_HUMAN;sp|P48668|K2C6C_HUMAN;sp|Q01546|K22O_HUMAN;sp|Q14CN4|K2C72_HUMAN;sp|Q3SY84|K2C71_HUMAN;sp|Q5XKE5|K2C79_HUMAN;sp|Q7RTS7|K2C74_HUMAN;sp|Q7Z794|K2C1B_HUMAN;sp|Q86Y46|K2C73_HUMAN;sp|Q9NSB2|KRT84_HUMAN,1
sp|O95758|PTBP3_HUMAN;sp|P26599|PTBP1_HUMAN;sp|Q9UKA9|PTBP2_HUMAN,1
sp|P00338|LDHA_HUMAN,3
sp|P00441|SODC_HUMAN,1
sp|P00558|PGK1_HUMAN,3
sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN,2
sp|P00761|TRYP_PIG,1
sp|P00883|ALDOA_RABIT;sp|P04075|ALDOA_HUMAN,2
sp|P02042|HBD_HUMAN;sp|P68871|HBB_HUMAN,1
sp|P02545|LMNA_HUMAN,2
sp|P02769|ALBU_BOVIN,3
sp|P04075|ALDOA_HUMAN,3
sp|P04083|ANXA1_HUMAN,3
sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN,1
